#node_1 node_2 timestamp duration
1336 1337 0 20
1336 1337 20 20
1336 1337 40 20
1336 1337 60 20
1336 1337 80 20
1336 1337 100 20
1336 1337 120 20
1336 1337 140 20
1336 1337 160 20
1336 1337 180 20
1336 1337 200 20
1336 1337 220 20
1336 1337 240 20
1336 1337 260 20
1336 1337 280 20
1336 1337 300 20
1336 1337 320 20
1336 1337 340 20
1336 1337 360 20
1336 1337 380 20
1336 1337 400 20
1336 1337 420 20
1336 1337 440 20
1336 1337 460 20
1336 1337 480 20
1336 1337 500 20
1336 1337 520 20
1336 1337 540 20
1336 1337 560 20
1336 1337 580 20
1336 1337 600 20
1336 1337 620 20
1336 1337 640 20
1336 1337 660 20
1336 1337 680 20
1336 1337 700 20
1336 1337 720 20
1336 1337 740 20
1336 1337 760 20
1336 1337 780 20
1336 1337 800 20
1336 1337 820 20
1336 1337 840 20
1336 1337 860 20
1336 1337 880 20
1336 1337 900 20
1336 1337 920 20
1336 1337 940 20
1336 1337 960 20
1336 1337 980 20
1336 1337 1000 20
1336 1337 1020 20
1336 1337 1040 20
1336 1337 1060 20
1336 1337 1080 20
1336 1337 1100 20
1336 1337 1120 20
1336 1337 1140 20
1336 1337 1160 20
1336 1337 1180 20
1336 1337 1200 20
1336 1337 1220 20
1336 1337 1240 20
1336 1337 1260 20
1336 1337 1280 20
1336 1337 1300 20
1336 1337 1320 20
1336 1337 1340 20
1336 1337 1360 20
1336 1337 1380 20
1336 1337 1400 20
1336 1337 1420 20
1336 1337 1440 20
1336 1337 1460 20
1336 1337 1480 20
1336 1337 1500 20
1336 1337 1520 20
1336 1337 1540 20
1336 1337 1560 20
1336 1337 1580 20
1336 1337 1600 20
1336 1337 1620 20
1336 1337 1640 20
1336 1337 1660 20
1336 1337 1680 20
1336 1337 1700 20
1336 1337 1720 20
1336 1337 1740 20
1336 1337 1760 20
1336 1337 1780 20
1336 1337 1900 20
1336 1337 1920 20
1336 1337 1940 20
1336 1337 1960 20
1336 1337 1980 20
1336 1337 2000 20
1336 1337 2020 20
1336 1337 2040 20
1336 1337 2060 20
1336 1337 2080 20
1337 1336 2100 20
1080 1125 2120 20
1336 1337 2120 20
1336 1337 2140 20
1336 1337 2160 20
1337 1336 2180 20
1336 1337 2200 20
1336 1337 2220 20
1337 1336 2240 20
1336 1337 2260 20
1336 1337 2280 20
1336 1337 2300 20
1336 1337 2320 20
1336 1337 2340 20
1336 1337 2360 20
1336 1337 2380 20
1336 1337 2400 20
1336 1337 2420 20
1336 1337 2440 20
1336 1337 2460 20
1336 1337 2480 20
1336 1337 2500 20
1336 1337 2520 20
1336 1337 2540 20
1336 1337 2560 20
1336 1337 2580 20
1337 1336 2600 20
1336 1337 2620 20
1336 1337 2640 20
1336 1337 2660 20
1336 1337 2680 20
1336 1337 2700 20
1336 1337 2720 20
1336 1337 2740 20
1336 1337 2760 20
1336 1337 2780 20
1336 1337 2800 20
1336 1337 2820 20
1336 1337 2840 20
1336 1337 2860 20
1337 1336 2880 20
1336 1337 2900 20
1336 1337 2920 20
1336 1337 2940 20
1336 1337 2960 20
1336 1337 2980 20
1336 1337 3000 20
1336 1337 3020 20
1336 1337 3040 20
1336 1337 3060 20
1336 1337 3080 20
1336 1337 3100 20
1336 1337 3120 20
1336 1337 3140 20
1336 1337 3160 20
1336 1337 3180 20
1336 1337 3200 20
1336 1337 3220 20
1336 1337 3240 20
1336 1337 3260 20
1336 1337 3280 20
1336 1337 3300 20
1336 1337 3320 20
1336 1337 3340 20
1336 1337 3360 20
1336 1337 3380 20
1336 1337 3400 20
